Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
2008-01-01;10,4;
2008-01-02;10,2;
2008-01-03;9,8;
2008-01-04;9,2;
2008-01-05;10,2;
2008-01-06;10,3;
2008-01-07;7,8;
2008-01-08;9,4;
2008-01-09;10,1;
2008-01-10;10,1;
2008-01-11;8,2;
2008-01-12;9,7;
2008-01-13;1,8;
2008-01-14;,4;
2008-01-15;9,1;
2008-01-16;2,4;
2008-01-17;5,9;
2008-01-18;6,4;
2008-01-19;9,6;
2008-01-20;9,6;
2008-01-21;3,8;
2008-01-22;7;
2008-01-23;5,8;
2008-01-24;9,8;
2008-01-25;10,3;
2008-01-26;10,9;
2008-01-27;9,9;
2008-01-28;9,5;
2008-01-29;10,1;
2008-01-30;,4;
2008-01-31;8,5;
2008-02-01;6,3;
2008-02-02;10;
2008-02-03;8,1;
2008-02-04;10;
2008-02-05;10,1;
2008-02-06;9,2;
2008-02-07;9,8;
2008-02-08;9,6;
2008-02-09;10,1;
2008-02-10;10,5;
2008-02-11;9,8;
2008-02-12;8,9;
2008-02-13;9,8;
2008-02-14;10,3;
2008-02-15;9,8;
2008-02-16;6,1;
2008-02-17;3,8;
2008-02-18;8,2;
2008-02-19;9,8;
2008-02-20;9,1;
2008-02-21;9,7;
2008-02-22;9,6;
2008-02-23;9,7;
2008-02-24;9,2;
2008-02-25;10,1;
2008-02-26;8,8;
2008-02-27;2,5;
2008-02-28;8;
2008-02-29;7,7;
2008-03-01;10,2;
2008-03-02;9,9;
2008-03-03;9,1;
2008-03-04;9,6;
2008-03-05;9,4;
2008-03-06;8,3;
2008-03-07;10,3;
2008-03-08;3,1;
2008-03-09;8,1;
2008-03-10;9,9;
2008-03-11;10,5;
2008-03-12;8,1;
2008-03-13;10;
2008-03-14;10,2;
2008-03-15;9,8;
2008-03-16;9,8;
2008-03-17;6;
2008-03-18;8,9;
2008-03-19;5,4;
2008-03-20;0;
2008-03-21;5,3;
2008-03-22;8,1;
2008-03-23;4,5;
2008-03-24;7,4;
2008-03-25;5,1;
2008-03-26;4;
2008-03-27;9,2;
2008-03-28;,3;
2008-03-29;1,3;
2008-03-30;,3;
2008-03-31;,7;
2008-04-01;6,9;
2008-04-02;8,6;
2008-04-03;7,3;
2008-04-04;9,6;
2008-04-05;3,8;
2008-04-06;8,1;
2008-04-07;5,6;
2008-04-08;7,6;
2008-04-09;2,5;
2008-04-10;8,9;
2008-04-11;2,8;
2008-04-12;5;
2008-04-13;0;
2008-04-14;4,5;
2008-04-15;6,8;
2008-04-16;9,2;
2008-04-17;10;
2008-04-18;8,3;
2008-04-19;8,4;
2008-04-20;4,2;
2008-04-21;4,8;
2008-04-22;8,3;
2008-04-23;0;
2008-04-24;9,7;
2008-04-25;9,4;
2008-04-26;9,7;
2008-04-27;0;
2008-04-28;2,8;
2008-04-29;8,9;
2008-04-30;10,4;
2008-05-01;1,8;
2008-05-02;7,7;
2008-05-03;8;
2008-05-04;8,6;
2008-05-05;7,1;
2008-05-06;7,5;
2008-05-07;1,2;
2008-05-08;8,3;
2008-05-09;3;
2008-05-10;9,2;
2008-05-11;7;
2008-05-12;4,5;
2008-05-13;,5;
2008-05-14;0;
2008-05-15;0;
2008-05-16;8,2;
2008-05-17;8,3;
2008-05-18;5,6;
2008-05-19;9,3;
2008-05-20;9,6;
2008-05-21;6,5;
2008-05-22;8,8;
2008-05-23;8,2;
2008-05-24;8,5;
2008-05-25;8,1;
2008-05-26;7,7;
2008-05-27;0;
2008-05-28;6,6;
2008-05-29;6,2;
2008-05-30;3;
2008-05-31;,6;
2008-06-01;4,3;
2008-06-02;9,2;
2008-06-03;6,4;
2008-06-04;0;
2008-06-05;4,5;
2008-06-06;7,2;
2008-06-07;6,5;
2008-06-08;0;
2008-06-09;3,1;
2008-06-10;0;
2008-06-11;8,6;
2008-06-12;,7;
2008-06-13;9,1;
2008-06-14;,9;
2008-06-15;2,4;
2008-06-16;,2;
2008-06-17;0;
2008-06-18;8,5;
2008-06-19;9,1;
2008-06-20;6,3;
2008-06-21;4,4;
2008-06-22;6,6;
2008-06-23;6,4;
2008-06-24;2,1;
2008-06-25;8;
2008-06-26;8,9;
2008-06-27;3,3;
2008-06-28;3,7;
2008-06-29;4,1;
2008-06-30;,8;
2008-07-01;0;
2008-07-02;7;
2008-07-03;5,6;
2008-07-04;8,3;
2008-07-05;,6;
2008-07-06;2,2;
2008-07-07;6,1;
2008-07-08;1,4;
2008-07-09;4,5;
2008-07-10;8,2;
2008-07-11;7,5;
2008-07-12;2,9;
2008-07-13;5,3;
2008-07-14;8,5;
2008-07-15;,1;
2008-07-16;,8;
2008-07-17;6;
2008-07-18;8,2;
2008-07-19;8,6;
2008-07-20;7,1;
2008-07-21;4,6;
2008-07-22;8,4;
2008-07-23;8,2;
2008-07-24;6,6;
2008-07-25;0;
2008-07-26;1,1;
2008-07-27;6,2;
2008-07-28;7;
2008-07-29;1;
2008-07-30;4,4;
2008-07-31;5,6;
2008-08-01;8,7;
2008-08-02;2,1;
2008-08-03;6,4;
2008-08-04;8,7;
2008-08-05;7,4;
2008-08-06;1,2;
2008-08-07;0;
2008-08-08;5,5;
2008-08-09;9,5;
2008-08-10;6,4;
2008-08-11;3;
2008-08-12;5,8;
2008-08-13;9,1;
2008-08-14;6,6;
2008-08-15;7,6;
2008-08-16;8,1;
2008-08-17;,5;
2008-08-18;9,4;
2008-08-19;5,8;
2008-08-20;7,8;
2008-08-21;9,9;
2008-08-22;6,5;
2008-08-23;10,6;
2008-08-24;10,2;
2008-08-25;2,2;
2008-08-26;1,3;
2008-08-27;6,8;
2008-08-28;4,4;
2008-08-29;1,7;
2008-08-30;8,7;
2008-08-31;9,1;
2008-09-01;8,5;
2008-09-02;8;
2008-09-03;7,8;
2008-09-04;1,8;
2008-09-05;8,4;
2008-09-06;7,5;
2008-09-07;7,7;
2008-09-08;5,7;
2008-09-09;7,3;
2008-09-10;7;
2008-09-11;8,1;
2008-09-12;9,2;
2008-09-13;7;
2008-09-14;8,9;
2008-09-15;7,3;
2008-09-16;8,5;
2008-09-17;3,8;
2008-09-18;9,1;
2008-09-19;8,9;
2008-09-20;8,8;
2008-09-21;9,1;
2008-09-22;9,3;
2008-09-23;8,1;
2008-09-24;8,6;
2008-09-25;8,7;
2008-09-26;9;
2008-09-27;8,7;
2008-09-28;3,9;
2008-09-29;8,5;
2008-09-30;8,3;
2008-10-01;9,3;
2008-10-02;5,3;
2008-10-03;9,1;
2008-10-04;7,8;
2008-10-05;7,8;
2008-10-06;1,7;
2008-10-07;7,7;
2008-10-08;7,6;
2008-10-09;5,4;
2008-10-10;9,1;
2008-10-11;9,2;
2008-10-12;6,5;
2008-10-13;5,5;
2008-10-14;8,3;
2008-10-15;6,1;
2008-10-16;1,8;
2008-10-17;6,9;
2008-10-18;9,3;
2008-10-19;8,4;
2008-10-20;9,6;
2008-10-21;8,8;
2008-10-22;8,9;
2008-10-23;9,5;
2008-10-24;6,3;
2008-10-25;8,9;
2008-10-26;9,9;
2008-10-27;1,7;
2008-10-28;9;
2008-10-29;10,2;
2008-10-30;9,6;
2008-10-31;10;
2008-11-01;10,2;
2008-11-02;7,9;
2008-11-03;8,6;
2008-11-04;8,9;
2008-11-05;6;
2008-11-06;9,3;
2008-11-07;9,8;
2008-11-08;6,9;
2008-11-09;10,3;
2008-11-10;10,1;
2008-11-11;10,1;
2008-11-12;9,5;
2008-11-13;4,7;
2008-11-14;9;
2008-11-15;10,5;
2008-11-16;9,9;
2008-11-17;10,9;
2008-11-18;9,9;
2008-11-19;10,1;
2008-11-20;10,4;
2008-11-21;10,5;
2008-11-22;9,5;
2008-11-23;8,5;
2008-11-24;10;
2008-11-25;8,6;
2008-11-26;8,3;
2008-11-27;10,4;
2008-11-28;9,8;
2008-11-29;9,6;
2008-11-30;9,9;
2008-12-01;9,1;
2008-12-02;9,1;
2008-12-03;9,2;
2008-12-04;9,8;
2008-12-05;9,8;
2008-12-06;10,3;
2008-12-07;5,4;
2008-12-08;9,3;
2008-12-09;5,1;
2008-12-10;,8;
2008-12-11;6,3;
2008-12-12;7,8;
2008-12-13;9,2;
2008-12-14;10,2;
2008-12-15;10,4;
2008-12-16;10;
2008-12-17;9,3;
2008-12-18;10,2;
2008-12-19;10,7;
2008-12-20;4;
2008-12-21;9,8;
2008-12-22;8,4;
2008-12-23;9,2;
2008-12-24;7,6;
2008-12-25;9,8;
2008-12-26;8,6;
2008-12-27;9,7;
2008-12-28;9,7;
2008-12-29;8,9;
2008-12-30;2,4;
2008-12-31;9,9;
2009-01-01;9,8;
2009-01-02;9,6;
2009-01-03;9,6;
2009-01-04;9,3;
2009-01-05;9,8;
2009-01-06;8,9;
2009-01-07;8,8;
2009-01-08;10,1;
2009-01-09;3,5;
2009-01-10;10,8;
2009-01-11;10,6;
2009-01-12;10,7;
2009-01-13;7,9;
2009-01-14;8,9;
2009-01-15;9,8;
2009-01-16;,4;
2009-01-17;7,2;
2009-01-18;9,7;
2009-01-19;8,3;
2009-01-20;8;
2009-01-21;,6;
2009-01-22;7,3;
2009-01-23;8,2;
2009-01-24;9,1;
2009-01-25;10,5;
2009-01-26;10,5;
2009-01-27;9,8;
2009-01-28;9,6;
2009-01-29;3,7;
2009-01-30;0;
2009-01-31;9,1;
2009-02-01;8,1;
2009-02-02;8,8;
2009-02-03;,2;
