Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-01;0;1006,8375;19,370833;30,7;26,920833;23,1;64,166667;44;10,8;2,820833;
2008-01-02;0;1007,479167;20,754167;30,6;27,054167;25,1;68,833333;52;8,8;2,770833;
2008-01-03;0;1008,804167;21,5875;30,7;27,170833;24,4;72,083333;55;11,4;3,704167;
2008-01-04;,2;1009,741667;21,654167;30,4;27,383333;25,8;71,416667;56;11,5;3,2625;
2008-01-05;0;1009,529167;20,804167;30,4;27,25;25,5;68,125;53;10,2;2,833333;
2008-01-06;0;1008;20,566667;30,5;26,966667;24,1;68,458333;53;11,7;3,0625;
2008-01-07;0;1007,070833;22,175;30,7;26,933333;23,8;75,583333;61;7,3;1,929167;
2008-01-08;0;1006,370833;22,104167;30,9;27,304167;25,1;73,666667;59;8,5;2,104167;
2008-01-09;0;1005,7625;20,5375;30,8;27,125;23,6;67,75;52;10,8;2,216667;
2008-01-10;0;1004,991667;20,841667;30,6;27,208333;25;68,541667;54;9,5;2,5;
2008-01-11;0;1006,191667;21,254167;30,5;27,416667;25,3;69,333333;54;9,1;2,329167;
2008-01-12;1;1006,6625;21,254167;30,9;27,566667;25,2;69,25;51;9,7;2,4625;
2008-01-13;7,8;1006,145833;22,1;29;26,1125;23,4;79;65;9,9;2,1;
2008-01-14;17,8;1006,108333;21,804167;28;25,4875;22,7;80,25;69;9,7;1,6375;
2008-01-15;6,8;1005,645833;21,783333;30,2;26,095833;22,7;77,916667;57;7,8;1,433333;
2008-01-16;2,6;1005,695833;22,6125;29,6;25,879167;23,2;82,583333;66;9,1;1,654167;
2008-01-17;14;1006,133333;22,816667;30,3;26,929167;23,6;78,5;65;9,6;2,5875;
2008-01-18;,8;1007,208333;22,075;30,1;26,983333;25;74,958333;58;11,2;2,65;
2008-01-19;0;1006,625;20,829167;30,6;27,029167;24,3;69,541667;48;9,5;2,65;
2008-01-20;0;1006,275;21,908333;30,8;26,945833;23;74,666667;54;6,9;1,675;
2008-01-21;0;1006,179167;22,716667;30,2;27,4625;26;75,583333;62;6,9;1,7;
2008-01-22;0;1006,258333;23,116667;30,7;27,75;26,4;76,083333;62;7,1;1,8375;
2008-01-23;1,4;1006,2;22,833333;30,7;27,391667;25,5;76,583333;59;6,7;1,733333;
2008-01-24;0;1006,3625;22,5125;30,1;27,529167;26;74,375;63;7,9;2,166667;
2008-01-25;0;1005,925;21,929167;31,1;27,783333;25,7;70,916667;53;9,6;2,458333;
2008-01-26;0;1005,879167;21,554167;31;27,7875;25,8;69,25;49;9,2;2,366667;
2008-01-27;0;1006,454167;21,4125;30,8;27,841667;26;68,416667;50;8,7;2,395833;
2008-01-28;0;1006,291667;21,35;31;27,491667;24,4;69,75;55;9,7;2,370833;
2008-01-29;,2;1004,920833;22,1375;31,4;27,483333;23,8;73,291667;54;8,4;2,383333;
2008-01-30;41,4;1003,545833;22,929167;28,3;25,858333;23,3;84,333333;69;6,6;1,7125;
2008-01-31;,2;1002,75;22,6625;30,9;27,4;25,3;75,583333;61;7,8;1,983333;
2008-02-01;,4;1004,758333;21,675;30,5;27,766667;26,4;69,625;59;7,6;2,15;
2008-02-02;0;1006,625;21,133333;31;27,0875;23;70,75;49;7,4;1,525;
2008-02-03;0;1008,283333;21,920833;30,9;27,075;23,6;74,166667;58;8,4;1,983333;
2008-02-04;0;1007,991667;21,604167;30,6;27,55;24,3;70,5;56;9,6;2,1875;
2008-02-05;0;1008,329167;20,866667;31,3;27,779167;25,6;66,583333;48;9,3;2,129167;
2008-02-06;0;1008,941667;20,9;31,6;27,170833;22,9;69,666667;45;8,7;2,075;
2008-02-07;0;1009,145833;22,333333;31,3;27,845833;24,7;72,375;54;7,8;2,2;
2008-02-08;0;1008,625;22,25;31,2;28,0125;26,3;71,25;56;9,5;2,445833;
2008-02-09;0;1006,883333;21,8375;31,2;27,941667;26,3;69,833333;50;8,1;2,591667;
2008-02-10;0;1006,570833;21,254167;31,3;27,320833;23,2;70,333333;50;7,4;1,8625;
2008-02-11;0;1006,85;22,054167;31,3;28;25,8;70,5;58;9;2,179167;
2008-02-12;0;1006,925;21,908333;31,5;28,145833;26,4;69,375;56;9,6;2,545833;
2008-02-13;,6;1006,620833;21,3125;31;27,8125;25,6;68,333333;52;10,6;2,2;
2008-02-14;,2;1006,25;20,85;31,5;27,108333;22,6;69,708333;46;8,4;2,216667;
2008-02-15;0;1005,8375;20,629167;31,2;27,6875;24,6;66,083333;47;7,2;1,975;
2008-02-16;,2;1005,8125;21,9375;31,1;27,716667;25,6;71,125;58;9;1,929167;
2008-02-17;2,4;1006,9875;22,35;31;27,5;25,1;74,041667;59;8,4;2,225;
2008-02-18;16,6;1007,9875;22,733333;30,8;27,791667;23,6;74,375;58;9,2;2,516667;
2008-02-19;0;1007,991667;22,220833;31,1;28,054167;26,2;70,916667;55;9,6;2,995833;
2008-02-20;,2;1006,545833;22,25;30,9;27,783333;24,9;72,208333;58;9,4;2,554167;
2008-02-21;0;1007,005;21,575;31,2;27,43;23,7;71,15;56;8,3;1,915;
2008-02-22;0;1008,370833;20,879167;31,6;27,579167;23,2;67,666667;47;8,6;1,875;
2008-02-23;0;1008,991667;21,633333;30,9;27,470833;23,4;70,916667;56;6,7;1,7375;
2008-02-24;0;1008,245833;22,279167;31,2;27,95;24,8;71,791667;55;6,8;1,920833;
2008-02-25;0;1006,954167;22,520833;31,3;27,883333;24,4;73,333333;56;10;1,804167;
2008-02-26;0;1005,6625;22,904167;31,5;28,145833;24,7;73,625;58;9,3;2,35;
2008-02-27;0;1006,129167;22,383333;32,1;27,841667;24,5;72,916667;53;9,3;2,395833;
2008-02-28;0;1006,0625;22,745833;32;28,1875;24,3;73,25;53;9,1;2,475;
2008-02-29;0;1005,708333;22,954167;31,7;28,416667;25,2;72,75;58;7,3;2,033333;
2008-03-01;0;1005,570833;22,0125;31,4;28,416667;25,9;68,75;53;8,1;1,916667;
2008-03-02;0;1005,4;21,9625;31,8;27,85;24,4;71,166667;52;8,1;1,8;
2008-03-03;0;1005,791304;21,813043;32;27,956522;23,7;70,086957;46;9;2,073913;
2008-03-04;0;1005,995833;22,6125;31,7;27,8375;23,8;73,958333;56;8,9;1,970833;
2008-03-05;0;1005,391667;22,65;31,5;28,270833;25,4;72;56;7,3;1,833333;
2008-03-06;,2;1004,85;22,275;31,3;27,504167;23,9;74,083333;54;7,8;1,8875;
2008-03-07;0;1005,9375;21,6;32,1;28,391667;26;67,25;52;9,8;2,1625;
2008-03-08;0;1007,125;22,7;30,6;27,4875;26,4;75,25;61;10,7;1,8625;
2008-03-09;25,4;1007,283333;21,795833;31,1;27,033333;22,6;74,75;48;8,7;1,770833;
2008-03-10;0;1006,783333;21,641667;31,1;27,116667;22,8;72,916667;53;9;1,829167;
2008-03-11;0;1006,416667;22,129167;31,4;27,420833;23,5;73,666667;58;8,1;1,883333;
2008-03-12;5;1006,425;22,829167;31;27,745833;25;74,916667;58;7,2;1,908333;
2008-03-13;0;1006,516667;22,370833;31,7;27,2125;23,3;75,958333;56;7,3;1,6125;
2008-03-14;0;1005,65;22,345833;31,3;27,475;23,8;74,333333;56;8;1,5125;
2008-03-15;0;1006,35;21,7625;31,7;27,708333;24,5;71,25;49;6,8;1,745833;
2008-03-16;0;1007,195833;21,141667;31,8;27,35;23,1;70,208333;46;8,1;1,833333;
2008-03-17;1,8;1006,954167;22,225;31,1;27,1625;22,8;75,083333;59;7,9;1,558333;
2008-03-18;0;1006,866667;22,066667;31,7;27,6375;24;72,333333;54;8,5;1,6625;
2008-03-19;1,6;1006,254167;22,1875;31,5;26,5625;23,5;78,25;51;6,2;1,616667;
2008-03-20;26,2;1006,8875;22,7;27,6;24,879167;23;87,958333;75;8,2;1,1375;
2008-03-21;5,2;1006,608333;22,704167;30,4;26,404167;23,3;80,916667;60;6,4;1,358333;
2008-03-22;17,8;1006,229167;22,8625;30,6;26,858333;23,4;79,625;59;7,2;1,541667;
2008-03-23;11;1005,558333;22,929167;30,7;26,408333;23,1;81,833333;61;7,1;1,65;
2008-03-24;2,6;1006,479167;23,275;30,9;27,104167;24,1;80,208333;58;7,4;1,475;
2008-03-25;0;1006,8125;22,729167;30,5;27,133333;24;77,541667;60;6,2;1,558333;
2008-03-26;8,6;1005,8875;23,383333;31,3;26,845833;24,3;82,083333;55;6,4;1,158333;
2008-03-27;0;1004,770833;23,195833;30,7;27,129167;24,1;79,916667;58;6,5;1,466667;
2008-03-28;13;1004,7625;23,058333;30,2;25,908333;23,5;84,916667;66;6,4;1,029167;
