Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2008-01-01,3610.771
2008-01-02,3167.936
2008-01-03,3429.173
2008-01-04,3115.432
2008-01-05,3456.494
2008-01-06,3319.773
2008-01-07,2337.761
2008-01-08,3353.391
2008-01-09,3454.305
2008-01-10,3453.661
2008-01-11,2633.325
2008-01-12,3768.267
2008-01-13,2028.025
2008-01-14,1962.997
2008-01-15,3323.527
2008-01-16,2908.551
2008-01-17,3588.958
2008-01-18,3307.843
2008-01-19,3520.922
2008-01-20,3593.026
2008-01-21,3038.233
2008-01-22,3264.321
2008-01-23,2973.609
2008-01-24,1969.781
2008-01-25,3683.544
2008-01-26,3436.87
2008-01-27,3593.25
2008-01-28,3236.211
2008-01-29,3517.068
2008-01-30,2199.581
2008-01-31,4006.978
2008-02-01,3418.15
2008-02-02,3717.359
2008-02-03,2973.53
2008-02-04,3509.13
2008-02-05,3704.46
2008-02-06,3638.105
2008-02-07,3182.834
2008-02-08,3083.502
2008-02-09,3619.03
2008-02-10,3494.304
2008-02-11,3352.919
2008-02-12,3784.675
2008-02-13,3505.069
2008-02-14,3772.097
2008-02-15,3777.567
2008-02-16,3313.034
2008-02-17,2964.306
2008-02-18,3501.998
2008-02-19,3651.239
2008-02-20,3583.433
2008-02-21,3545.857
2008-02-22,3774.668
2008-02-23,2506.315
2008-02-24,3720.699
2008-02-25,3815.225
2008-02-26,3721.164
2008-02-27,3097.387
2008-02-28,3677.732
2008-02-29,3394.793
2008-03-01,3686.942
2008-03-02,3658.319
2008-03-03,3740.602
2008-03-04,3578.145
2008-03-05,3497.375
2008-03-06,3892.952
2008-03-07,3212.558
2008-03-08,3722.274
2008-03-09,3756.565
2008-03-10,3770.522
2008-03-11,2936.133
2008-03-12,3542.948
2008-03-13,3838.086
2008-03-14,3776.164
2008-03-15,3735.248
2008-03-16,3765.286
2008-03-17,3792.558
2008-03-18,3923.216
2008-03-19,3900.28
2008-03-20,1832.436
2008-03-21,3869.274
2008-03-22,3984.09
2008-03-23,3186.843
2008-03-24,3995.482
2008-03-25,3435.357
2008-03-26,3691.12
2008-03-27,3659.739
2008-03-28,3510.391
2008-03-29,2550.126
2008-03-30,2297.007
2008-03-31,1968.064
2008-04-01,3962.322
2008-04-02,3058.898
2008-04-03,3587.873
2008-04-04,3650.104
2008-04-05,2872.526
2008-04-06,3324.219
2008-04-07,3714.756
2008-04-08,2732.82
2008-04-09,2183.363
2008-04-10,2858.693
2008-04-11,3148.861
2008-04-12,2633.195
2008-04-13,1285.909
