Data Medicao,TEMPERATURA MÁXIMA(°C),PRECIPITAÇÃO MÁXIMA(mm),"VENTO, RAJADA MÁXIMA(m/s)",VELOCIDADE DO VENTO MÁXIMA(m/s),RADIAÇÃO MÁXIMA(Kj/m²)
2008-01-06,30.7,0.2,11.7,3.704167,3610.7709999999997
2008-01-13,30.9,7.8,10.8,2.5,3768.2670000000003
2008-01-20,30.8,17.8,11.2,2.65,3593.026
2008-01-27,31.1,1.4,9.6,2.458333,3683.5440000000003
2008-02-03,31.4,41.4,9.7,2.383333,4006.978
2008-02-10,31.6,0.0,9.6,2.591667,3704.46
2008-02-17,31.5,2.4,10.6,2.545833,3784.675
2008-02-24,31.6,16.6,9.6,2.995833,3774.6679999999997
2008-03-02,32.1,0.0,10.0,2.475,3815.225
2008-03-09,32.1,25.4,10.7,2.1625,3892.952
2008-03-16,31.8,5.0,9.0,1.908333,3838.086
2008-03-23,31.7,26.2,8.5,1.6625,3984.09
2008-03-30,31.3,83.2,13.4,1.558333,3995.482
2008-04-06,31.0,24.8,7.8,1.741667,3962.322
2008-04-13,30.5,57.6,9.1,2.1625,3714.756
2008-04-20,31.2,62.8,15.8,2.266667,3826.6040000000003
2008-04-27,31.0,9.6,21.3,2.454167,3511.225
2008-05-04,31.0,84.0,23.8,2.370833,3322.4440000000004
2008-05-11,31.9,48.4,10.4,2.708333,3368.179
2008-05-18,30.5,34.6,13.3,3.041667,3318.384
2008-05-25,30.3,23.2,8.8,2.354167,3278.423
2008-06-01,30.3,53.2,12.4,2.904167,3280.563
2008-06-08,29.5,26.2,12.4,3.220833,3254.8140000000003
2008-06-15,29.7,18.8,13.8,3.55,3132.4390000000003
2008-06-22,29.1,147.6,13.6,3.095833,3142.4109999999996
2008-06-29,29.7,31.0,14.3,3.570833,3138.52
2008-07-06,28.5,88.6,13.6,3.116667,3068.9770000000003
2008-07-13,28.2,34.6,14.9,3.929167,3000.382
2008-07-20,28.8,21.8,13.5,3.895833,3165.51
2008-07-27,28.5,5.6,14.0,3.995833,3214.302
2008-08-03,28.8,63.4,14.3,3.829167,3448.1279999999997
2008-08-10,28.5,53.2,11.4,3.45,3441.593
2008-08-17,28.5,20.2,12.7,3.579167,3629.0879999999997
2008-08-24,28.6,12.6,12.6,3.666667,3556.446
2008-08-31,28.9,28.8,13.4,3.7,3500.74
2008-09-07,28.8,53.6,12.5,3.929167,3613.559
2008-09-14,29.2,7.6,13.8,3.854167,3570.1690000000003
2008-09-21,29.0,0.4,12.6,3.779167,3622.239
2008-09-28,29.9,1.6,12.8,3.525,3674.788
2008-10-05,29.8,4.6,12.9,3.833333,3550.073
2008-10-12,29.2,5.2,13.3,3.875,3493.222
2008-10-19,30.0,6.4,13.1,3.966667,3734.914
2008-10-26,30.5,4.6,11.7,3.954167,3791.824
2008-11-02,30.1,3.2,11.4,3.0375,3949.954
2008-11-09,30.9,3.2,12.7,3.2375,3815.2940000000003
2008-11-16,30.4,0.2,10.0,2.5125,3854.1490000000003
2008-11-23,30.7,0.0,10.6,3.1625,3949.81
2008-11-30,30.7,0.8,9.5,2.570833,3766.32
2008-12-07,30.8,11.2,12.1,2.4875,3816.322
2008-12-14,30.3,8.6,8.6,2.308333,3660.9179999999997
2008-12-21,31.0,0.0,10.3,3.054167,3998.595
2008-12-28,31.2,9.6,9.5,2.529167,3705.2670000000003
